player_name,player_dob,player_height,player_role,player_batstyle,player_bowlingstyle,player_bat_test_rank,player_bat_odi_rank,player_bat_t20_rank,player_bowl_test_rank,player_bowl_odi_rank,player_bowl_t20_rank,player_career,player_test_matches,player_test_innings,player_test_notout,player_test_runs,player_test_highestscore,player_test_batavg,player_test_ballsfaced,player_test_strikerate,player_test_100,player_test_200,player_test_50,player_test_4s,player_test_6s,player_ODI_matches,player_ODI_innings,player_ODI_notout,player_ODI_runs,player_ODI_highestscore,player_ODI_batavg,player_ODI_ballsfaced,player_ODI_strikerate,player_ODI_100,player_ODI_200,player_ODI_50,player_ODI_4s,player_ODI_6s,player_T20_matches,player_T20_innings,player_T20_notout,player_T20_runs,player_T20_highestscore,player_T20_batavg,player_T20_ballsfaced,player_T20_strikerate,player_T20_100,player_T20_200,player_T20_50,player_T20_4s,player_T20_6s,player_IPL_matches,player_IPL_innings,player_IPL_notout,player_IPL_runs,player_IPL_highestscore,player_IPL_batavg,player_IPL_ballsfaced,player_IPL_strikerate,player_IPL_100,player_IPL_200,player_IPL_50,player_IPL_4s,player_IPL_6s,player_test_balls,player_test_wkts,player_test_bestbowlinginn,player_test_bestbowlingmatch,player_test_economy,player_test_avg,player_test_stkrate,player_test_5wkts,player_test_10wkts,player_ODI_balls,player_ODI_wkts,player_ODI_bestbowlinginn,player_ODI_bestbowlingmatch,player_ODI_economy,player_ODI_avg,player_ODI_stkrate,player_ODI_5wkts,player_ODI_10wkts,player_T20_balls,player_T20_wkts,player_T20_bestbowlinginn,player_T20_bestbowlingmatch,player_T20_economy,player_T20_avg,player_T20_stkrate,player_T20_5wkts,player_T20_10wkts,player_IPL_balls,player_IPL_wkts,player_IPL_bestbowlinginn,player_IPL_bestbowlingmatch,player_IPL_economy,player_IPL_avg,player_IPL_stkrate,player_IPL_5wkts,player_IPL_10wkts
Virat Kohli," Nov 05, 1988 (31 years) ", 5 ft 9 in (175 cm) , Batsman , Right Handed Bat , Right-arm medium , 2 , 1 , 10 , -- , -- , -- ," India, Delhi, India Red, India U19, Royal Challengers Bangalore, Board Presidents XI, North Zone, Indians, India A, Asia XI ",86,11,10,84,254,53.63,12552,57.68,27,7,22,811,22,248,48,39,665,183,59.34,12726,93.25,43,0,58,1116,122,81,12,21,198,94,50.8,2021,138.25,0,0,24,258,76,177,26,26,368,113,37.85,4112,131.61,5,0,36,480,190,175,0,0/0,0/0,2.88,0.0,0.0,0,0,641,4,1/15,1/15,6.22,166.25,160.25,0,0,146,4,1/13,1/13,8.14,49.5,36.5,0,0,251,4,2/25,2/25,8.8,92.0,62.75,0,0
Rohit Sharma," Apr 30, 1987 (33 years) ", -- , Batsman , Right Handed Bat , Right-arm offbreak , 16 , 2 , 11 , -- , -- , -- ," India, Deccan Chargers, India A, India Green, India U19, Mumbai, Mumbai Indians, Indians, India Blue, Board Presidents XI ",32,14,7,216,212,46.54,3613,59.26,6,1,10,216,52,224,38,32,515,264,49.27,10250,88.93,29,3,43,817,244,108,9,14,113,118,32.24,1998,138.79,4,0,21,245,127,188,30,28,440,109,31.6,3744,130.82,1,0,36,431,194,370,2,1/26,1/35,3.5,108.0,185.0,0,0,593,8,2/27,2/27,5.21,64.38,74.12,0,0,68,1,1/22,1/22,9.97,113.0,68.0,0,0,332,15,4/6,4/6,7.95,29.33,22.13,0,0
Hardik Pandya," Oct 11, 1993 (26 years) ", -- , Batting Allrounder , Right Handed Bat , Right-arm fast-medium , -- , 74 , -- , -- , 64 , -- ," India, Baroda, Mumbai Indians, India A, India AT20, Indian Board Presidents XI, World XI ",11,19,1,528,108,31.29,720,73.89,1,0,4,68,12,54,53,6,2195,83,29.91,828,115.58,0,0,4,69,40,40,39,6,976,33,16.32,210,147.62,0,0,0,18,19,66,60,24,1313,91,28.86,690,154.78,0,0,3,72,68,937,17,5/28,6/50,3.38,31.06,55.12,1,0,2368,54,3/31,3/31,5.56,40.65,43.85,0,0,701,38,4/38,4/38,8.35,25.68,18.45,0,0,869,42,3/20,3/20,9.07,31.26,20.69,0,0
Ravindra Jadeja," Dec 06, 1988 (31 years) ", -- , Bowling Allrounder , Left Handed Bat , Left-arm orthodox , 42 , 96 , -- , 18 , 23 , 71 ," India, India U19, Rajasthan Royals, Saurashtra, Board Presidents XI, Kochi Tuskers Kerala, Chennai Super Kings, India B, Indians, India A, Gujarat Lions, India Blue, Rest of India ",49,94,18,5246,100,35.26,2931,63.77,1,0,14,179,50,165,161,38,6839,87,31.89,2671,85.96,0,0,12,172,43,49,49,9,1152,25,12.36,170,101.76,0,0,0,7,5,170,142,48,3152,48,24.09,1571,122.66,0,0,0,135,65,12912,213,7/48,10/154,2.44,24.63,60.62,9,1,8377,187,5/36,5/36,4.9,36.57,44.8,1,0,973,39,3/48,3/48,7.1,29.54,24.95,0,0,2495,108,5/16,5/16,7.58,29.19,23.1,1,0
MS Dhoni," Jul 07, 1981 (39 years) ", 5 ft 11 in (180 cm) , WK-Batsman , Right Handed Bat , Right-arm medium , -- , 26 , -- , -- , -- , -- ," India, Asia XI, Chennai Super Kings, Indians, Jharkhand, Rising Pune Supergiant, India A ",90,7,16,67,224,38.09,8248,59.12,6,1,33,544,78,350,2,84,31,183,50.58,12303,87.56,10,0,73,826,229,98,-,42,-,56,37.6,1282,126.13,0,0,2,116,52,190,-,65,-,84,42.21,3215,137.85,0,0,23,297,209,96,0,0/1,0/1,4.19,0.0,0.0,0,0,36,1,1/14,1/14,5.17,31.0,36.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bhuvneshwar Kumar," Feb 05, 1990 (30 years) ", -- , Bowler , Right Handed Bat , Right-arm fast-medium , -- , -- , -- , -- , 20 , 46 ," Royal Challengers Bangalore, Pune Warriors, India A, Central Zone, Uttar Pradesh, India, India Blue, Indians, Sunrisers Hyderabad, Uttar Pradesh ",21,37,4,1644,63,22.08,1225,45.06,0,0,3,77,1,114,113,15,4568,53,14.22,703,74.82,0,0,1,44,8,43,43,5,1088,9,5.75,29,79.31,0,0,0,0,0,117,117,19,3154,24,7.62,192,95.31,0,0,0,17,3,3348,63,6/82,8/96,2.95,26.1,53.14,4,0,5451,132,5/42,5/42,5.03,34.61,41.3,1,0,926,41,5/24,5/24,7.05,26.54,22.59,1,0,2612,133,5/19,5/19,7.25,23.71,19.64,1,0
Mohammed Shami," Sep 03, 1990 (29 years) ", -- , Bowler , Right Handed Bat , Right-arm fast-medium , -- , -- , -- , 14 , 24 , -- ," Kolkata Knight Riders, India A, Bengal, India, Rest of India, Board Presidents XI, East Zone, Indians, Delhi Capitals, Mohun Bagan, World XI, Kings XI Punjab, Asia XI ",49,94,20,4925,51,11.3,647,76.82,0,0,1,50,20,77,76,17,3661,25,7.74,180,81.67,0,0,0,11,6,11,11,-,382,-,-,-,-,-,-,-,-,-,49,49,7,1547,21,6.0,53,101.89,0,0,0,5,2,8897,180,6/56,9/118,3.32,27.36,49.43,5,0,3930,144,5/69,5/69,5.59,25.42,27.29,1,0,238,12,3/38,3/38,9.63,31.83,19.83,0,0,1032,40,3/21,3/21,8.99,38.67,25.8,0,0
Jasprit Bumrah," Dec 06, 1993 (26 years) ", -- , Bowler , Right Handed Bat , Right-arm fast , -- , -- , -- , 8 , 2 , 13 ," India, Mumbai Indians, Gujarat, West Zone, India A, India Green ",14,28,10,1383,10,2.91,146,21.92,0,0,0,3,0,64,64,10,2541,10,3.8,44,43.18,0,0,0,2,1,49,49,4,1195,7,4.0,13,61.54,0,0,0,1,0,77,77,9,2183,16,11.67,38,92.11,0,0,0,2,1,3081,68,6/27,9/86,2.69,20.34,45.31,5,0,3346,104,5/27,5/27,4.56,24.43,32.17,1,0,1075,59,3/11,3/11,6.67,20.25,18.22,0,0,1732,82,3/7,3/7,7.56,26.62,21.12,0,0
Kuldeep Yadav," Dec 14, 1994 (25 years) ", -- , Bowler , Left Handed Bat , Left-arm chinaman , -- , -- , -- , -- , 18 , 44 ," India, India U19, Kolkata Knight Riders, Central Zone, India A, Uttar Pradesh, India AT20, Indian Board Presidents XI, India Red, Rest of India, Asia XI ",6,10,0,579,26,8.5,161,31.68,0,0,0,6,0,60,58,12,2721,19,13.11,188,62.77,0,0,0,10,0,20,20,1,537,16,20.0,20,100.0,0,0,0,2,0,40,39,4,1144,16,8.8,54,81.48,0,0,0,4,0,989,24,5/57,6/119,3.51,24.12,41.21,2,0,3192,104,6/25,6/25,5.11,26.16,30.69,1,0,453,39,5/24,5/24,7.11,13.77,11.62,1,0,824,39,4/20,4/20,8.33,29.33,21.13,0,0
Mohammad Hafeez," Oct 17, 1980 (39 years) ", -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak , -- , 44 , 73 , -- , -- , -- ," Pakistan, Kolkata Knight Riders, Khulna Royal Bengals, Wayamba United, Guyana Amazon Warriors, Melbourne Renegades, Melbourne Stars, Lahore Lions, Dhaka Dynamites, Peshawar Zalmi, Pakistan Cricket Board Patrons XI, Hung Hom JD Jaguars, St Kitts and Nevis Patriots, Durban Qalandars, Montreal Tigers, Nangarhar Leopards, Rajshahi Kings, Lahore Qalandars, Edmonton Royals, St Kitts and Nevis Patriots, Middlesex, Desert Riders, Team Green ",55,77,8,1808,224,37.65,6520,56.01,10,1,12,455,28,218,177,15,5401,140,32.91,8634,76.6,11,0,38,664,110,91,67,9,1226,86,25.22,1708,116.63,0,0,11,208,52,8,4,1,68,16,9.14,83,77.11,0,0,0,7,2,4067,53,4/16,4/48,2.67,34.11,76.74,0,0,7733,139,4/41,4/41,4.19,38.86,55.63,0,0,1117,54,4/10,4/10,6.59,22.7,20.69,0,0,60,2,1/8,1/8,6.8,34.0,30.0,0,0
